Keuwl Accelerometer Data File
2016-06-30 22-22-06

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,-0.366438,5.455855,7.333550,9.147764,36.709480,93.842453
0.0025065,-0.232317,5.530100,7.611372,9.411109,36.024586,92.405556
0.0050126,-0.201182,5.549261,7.855664,9.620095,35.255211,92.076279
0.0075456,-0.098196,5.501360,8.030500,9.734656,34.417660,91.022583
0.0100504,0.000000,5.431904,8.212523,9.846375,33.481339,90.000000
0.0125244,0.076641,5.453460,8.298743,9.930520,33.313225,89.194839
0.0150275,0.076641,5.384004,8.461604,10.029563,32.470676,89.184456
0.0175585,-0.014370,5.331314,8.497530,10.031507,32.104076,90.154434
0.0200788,-0.102986,5.271438,8.507110,10.008475,31.789358,91.119225
0.0225996,-0.220342,5.336104,8.452024,9.997963,32.287903,92.364548
0.0251307,-0.435894,5.331314,8.418494,9.974164,32.431835,94.674164
0.0276642,-0.541274,5.429510,8.480764,10.084439,32.756748,95.693077
0.0301847,-0.673001,5.486990,8.464000,10.109366,33.149845,96.992622
0.0327186,-0.900527,5.647456,8.495134,10.240704,33.947872,99.059952
0.0352511,-0.912502,5.748047,8.710687,10.476105,33.748779,99.020432
0.0377711,-1.089734,5.834268,8.861572,10.665536,33.812767,100.579887
0.0402925,-1.235830,5.954019,9.103470,10.947638,33.742073,101.725945
0.0428405,-1.197510,5.946834,9.433982,11.216010,32.741692,101.385353
0.0453730,-1.396297,5.946834,9.699829,11.463035,32.201054,103.213509
0.0478915,-1.472937,5.930068,9.788445,11.539018,31.973722,103.949097
0.0504449,-1.511257,5.927674,9.912986,11.648541,31.678675,104.302834
0.0530268,-1.611848,5.855823,9.912986,11.625662,31.495478,105.389870
0.0555645,-1.465752,5.865403,9.924961,11.621370,31.347622,104.030739
0.0580845,-1.427432,5.685777,9.929751,11.531070,30.556290,104.093018
0.0606038,-1.137634,5.666616,9.970467,11.524537,30.100029,101.351837
0.0631238,-0.986748,5.601951,9.975257,11.483087,29.693090,99.989815
0.0656432,-0.771196,5.484595,10.011182,11.441123,28.952965,98.003960
0.0681620,-0.507744,5.316944,10.037527,11.370121,28.018177,95.454948
0.0706826,-0.387993,5.130132,9.989627,11.236611,27.249035,94.325058
0.0732041,-0.237107,5.089417,9.845925,11.086056,27.360052,92.667381
0.0757237,-0.002395,4.933741,9.742940,10.920929,26.857267,90.027817
0.0782452,0.028740,4.871470,9.563313,10.732615,26.994312,89.661972
0.0806793,0.162861,4.756509,9.491463,10.617851,26.630522,88.038979
0.0831975,0.268242,4.639153,9.330997,10.424068,26.473637,86.690765
0.0856461,0.282612,4.495452,9.247170,10.285870,25.970863,86.402763
0.0881661,0.371228,4.517007,9.036409,10.109296,26.636181,85.301735
0.0906171,0.464634,4.540957,9.072334,10.155955,26.708858,84.157791
0.0930935,0.378413,4.509822,9.062755,10.129916,26.536173,85.203621
0.0955844,0.385598,4.543352,9.086704,10.166559,26.647385,85.148888
0.0980849,0.421523,4.598438,9.043594,10.154305,27.049139,84.762527
0.1005928,0.591570,4.555327,9.029224,10.130541,26.964518,82.600792
0.1031139,0.471819,4.627178,8.988508,10.120606,27.359644,84.177849
0.1056219,0.517324,4.593647,8.981323,10.101158,27.234875,83.574577
0.1081418,0.603545,4.600833,9.050779,10.170965,27.143797,82.526520
0.1106022,0.500559,4.634363,8.931028,10.074282,27.561134,83.835365
0.1130962,0.617915,4.639153,8.911868,10.066030,27.706495,82.413109
0.1155892,0.529299,4.696633,8.995694,10.161744,27.717577,83.570030
0.1180957,0.591570,4.629573,9.000484,10.138619,27.409071,82.718170
0.1206167,0.673001,4.579278,9.029224,10.146409,27.140121,81.639290
0.1231195,0.658630,4.639153,9.091495,10.227942,27.266163,81.919601
0.1256782,0.455054,4.627178,9.184900,10.294670,26.849041,84.383385
0.1281859,0.387993,4.655918,9.218431,10.334775,26.876665,85.236359
0.1307769,0.308958,4.634363,9.278306,10.375921,26.592203,86.185928
0.1333675,0.340093,4.691844,9.362132,10.477527,26.677971,85.854111
0.1358549,0.160466,4.641548,9.371712,10.459383,26.361546,88.019974
0.1383749,0.220342,4.670288,9.299861,10.409013,26.690853,87.298820
0.1408912,0.055085,4.655918,9.304651,10.404670,26.584358,89.322151
0.1434131,-0.019160,4.682263,9.232800,10.352225,26.891294,90.234459
0.1459457,-0.131726,4.713398,8.964559,10.129007,27.743778,91.600838
0.1484248,-0.239502,4.797225,8.710687,9.947200,28.872976,92.858124
0.1509576,-0.323328,4.804410,8.571775,9.831695,29.325514,93.850090
0.1535383,-0.414338,4.979246,8.454419,9.820477,30.582544,94.756798
0.1560867,-0.402363,5.007986,8.181387,9.600881,31.553745,94.593521
0.1586340,-0.275427,4.979246,8.140672,9.546690,31.491034,93.166092
0.1611539,-0.289797,5.043911,8.059241,9.511908,32.083038,93.288307
0.1636738,-0.208367,5.012776,7.862849,9.327150,32.541016,92.380249
0.1661916,-0.126936,5.060677,7.807764,9.305253,32.957897,91.436836
0.1687016,-0.124541,4.986431,7.781419,9.242861,32.660370,91.430717
0.1712390,-0.009580,4.991221,7.654483,9.138024,33.107014,90.109970
0.1737629,0.112566,4.909790,7.635323,9.078373,32.749340,88.686623
0.1762733,0.062271,4.900210,7.498806,8.958127,33.165340,89.271942
0.1787584,0.086221,4.713398,7.484437,8.845358,32.205406,88.952026
0.1812660,0.100591,4.694239,7.537127,8.879993,31.921186,88.772423
0.1838608,0.153281,4.631968,7.395821,8.727932,32.072834,88.104660
0.1863476,0.251477,4.737349,7.333550,8.734224,32.898529,86.961365
0.1888674,0.213157,4.727769,7.297625,8.697848,32.963753,87.418503
0.1913416,0.198787,4.643943,7.194639,8.565544,32.865032,87.548920
0.1938302,0.239502,4.790039,7.113208,8.579019,33.989498,87.137596
0.1963908,0.220342,4.734954,7.096443,8.533923,33.740990,87.335655
0.1988984,0.244292,4.708609,6.995852,8.436387,33.978489,87.030045
0.2014180,0.289797,4.782854,6.787486,8.308408,35.220184,86.532639
0.2039368,0.347278,4.859495,6.598279,8.201986,36.440582,85.912376
0.2064565,0.308958,4.878655,6.619834,8.229152,36.444077,86.376389
0.2089791,0.371228,5.034331,6.701265,8.389831,36.990372,85.782684
0.2114507,0.457449,4.818779,6.672525,8.243330,35.958225,84.577141
0.2139706,0.488584,4.919370,6.698870,8.325489,36.426258,84.328072
0.2164305,0.440684,4.885840,6.684500,8.291451,36.274494,84.846092
0.2189348,0.464634,4.845125,6.751560,8.323141,35.788685,84.522247
0.2214445,0.414338,4.881050,6.947952,8.501197,35.185474,85.147957
0.2239532,0.443079,4.871470,6.900052,8.458029,35.333557,84.803032
0.2264619,0.399968,4.890630,7.036568,8.578550,34.890038,85.324608
0.2289809,0.426313,4.871470,7.199429,8.703146,34.185638,84.998657
0.2315550,0.443079,4.928950,7.328760,8.843166,34.029617,84.863312
0.2341240,0.421523,4.849915,7.558682,8.990719,32.783714,85.032700
0.2366739,0.390388,4.763694,7.810159,9.156625,31.465815,85.315041
0.2391277,0.421523,4.756509,7.877220,9.211550,31.224133,84.935661
0.2416475,0.294587,4.694239,7.958650,9.244608,30.582613,86.409103
0.2441509,0.328118,4.687053,8.293953,9.532354,29.531551,85.995537
0.2466532,0.313748,4.655918,8.298743,9.520775,29.349541,86.144844
0.2491720,0.261057,4.672683,8.389753,9.606772,29.153641,86.802277
0.2516861,0.299377,4.600833,8.509504,9.678272,28.449427,86.277000
0.2542157,0.244292,4.557723,8.657996,9.787411,27.796999,86.931908
0.2567918,0.277822,4.574488,8.820857,9.940354,27.454342,86.524529
0.2593714,0.237107,4.605623,8.921448,10.042918,27.335587,87.052895
